"Nom_com";"id_insee";"annee";"PO_0_foyer_rat";"LP_0_foyer_rat";"LH_0_foyer_rat";"LC_0_foyer_rat";"autres_0_foyer_rat";"Total_menages_0_foyer_rat";"PO_1_foyer_rat";"LP_1_foyer_rat";"LH_1_foyer_rat";"LC_1_foyer_rat";"autres_1_foyer_rat";"Total_menages_1_foyer_rat";"PO_2_foyers_rat";"LP_2_foyers_rat";"LH_2_foyers_rat";"LC_2_foyers_rat";"autres_2_foyers_rat";"Total_menages_2_foyers_rat";"PO_3et+_foyers_rat";"LP_3et+_foyers_rat";"LH_3et+_foyers_rat";"LC_3et+_foyers_rat";"autres_3et+_foyers_rat";"Total_menages_3et+_foyers_rat";"PO_1er_rat_celibataire";"LP_1er_rat_celibataire";"LH_1er_rat_celibataire";"LC_1er_rat_celibataire";"autres_1er_rat_celibataire";"Total_menages_1er_rat_celibataire";"PO_1er_rat_divorce";"LP_1er_rat_divorce";"LH_1er_rat_divorce";"LC_1er_rat_divorce";"autres_1er_rat_divorce";"Total_menages_1er_rat_divorce";"PO_1er_rat_marie_pacse";"LP_1er_rat_marie_pacse";"LH_1er_rat_marie_pacse";"LC_1er_rat_marie_pacse";"autres_1er_rat_marie_pacse";"Total_menages_1er_rat_marie_pacse";"PO_1er_rat_veuf";"LP_1er_rat_veuf";"LH_1er_rat_veuf";"LC_1er_rat_veuf";"autres_1er_rat_veuf";"Total_menages_1er_rat_veuf";"PO_1er_rat_<25ans";"LP_1er_rat_<25ans";"LH_1er_rat_<25ans";"LC_1er_rat_<25ans";"autres_1er_rat_<25ans";"Total_menages_1er_rat_<25ans";"PO_1er_rat_25-59ans";"LP_1er_rat_25-59ans";"LH_1er_rat_25-59ans";"LC_1er_rat_25-59ans";"autres_1er_rat_25-59ans";"Total_menages_1er_rat_25-59ans";"PO_1er_rat_>59ans";"LP_1er_rat_>59ans";"LH_1er_rat_>59ans";"LC_1er_rat_>59ans";"autres_1er_rat_>59ans";"Total_menages_1er_rat_>59ans";"PO_suroccupation_lourde";"LP_suroccupation_lourde";"LH_suroccupation_lourde";"LC_suroccupation_lourde";"autres_suroccupation_lourde";"Total_menages_suroccupation_lourde";"PO_suroccupation";"LP_suroccupation";"LH_suroccupation";"LC_suroccupation";"autres_suroccupation";"Total_menages_suroccupation";"PO_rev_brut_ecart_type";"LP_rev_brut_ecart_type";"LH_rev_brut_ecart_type";"LC_rev_brut_ecart_type";"autres_rev_brut_ecart_type";"Total_menages_rev_brut_ecart_type";"PO_rev_brut_moyenne";"LP_rev_brut_moyenne";"LH_rev_brut_moyenne";"LC_rev_brut_moyenne";"autres_rev_brut_moyenne";"Total_menages_rev_brut_moyenne";"PO_rev_brut_mediane";"LP_rev_brut_mediane";"LH_rev_brut_mediane";"LC_rev_brut_mediane";"autres_rev_brut_mediane";"Total_menages_rev_brut_mediane";"PO_rev_brut_ucm_ecart_type";"LP_rev_brut_ucm_ecart_type";"LH_rev_brut_ucm_ecart_type";"LC_rev_brut_ucm_ecart_type";"autres_rev_brut_ucm_ecart_type";"Total_menages_rev_brut_ucm_ecart_type";"PO_rev_brut_ucm_moyenne";"LP_rev_brut_ucm_moyenne";"LH_rev_brut_ucm_moyenne";"LC_rev_brut_ucm_moyenne";"autres_rev_brut_ucm_moyenne";"Total_menages_rev_brut_ucm_moyenne";"PO_rev_brut_ucm_mediane";"LP_rev_brut_ucm_mediane";"LH_rev_brut_ucm_mediane";"LC_rev_brut_ucm_mediane";"autres_rev_brut_ucm_mediane";"Total_menages_rev_brut_ucm_mediane";"PO_non_imposable";"LP_non_imposable";"LH_non_imposable";"LC_non_imposable";"autres_non_imposable";"Total_menages_non_imposable";"PO_imposable";"LP_imposable";"LH_imposable";"LC_imposable";"autres_imposable";"Total_menages_imposable";"PO_pas_degrevement";"LP_pas_degrevement";"LH_pas_degrevement";"LC_pas_degrevement";"autres_pas_degrevement";"Total_menages_pas_degrevement";"PO_avec_degrevement";"LP_avec_degrevement";"LH_avec_degrevement";"LC_avec_degrevement";"autres_avec_degrevement";"Total_menages_avec_degrevement";"PO_plafond_HLM_<=30%";"LP_plafond_HLM_<=30%";"LH_plafond_HLM_<=30%";"LC_plafond_HLM_<=30%";"autres_plafond_HLM_<=30%";"Total_menages_plafond_HLM_<=30%";"PO_plafond_HLM_<30-60%";"LP_plafond_HLM_<30-60%";"LH_plafond_HLM_<30-60%";"LC_plafond_HLM_<30-60%";"autres_plafond_HLM_<30-60%";"Total_menages_plafond_HLM_<30-60%";"PO_plafond_HLM_<60-100%";"LP_plafond_HLM_<60-100%";"LH_plafond_HLM_<60-100%";"LC_plafond_HLM_<60-100%";"autres_plafond_HLM_<60-100%";"Total_menages_plafond_HLM_<60-100%";"PO_plafond_HLM_<100-130%";"LP_plafond_HLM_<100-130%";"LH_plafond_HLM_<100-130%";"LC_plafond_HLM_<100-130%";"autres_plafond_HLM_<100-130%";"Total_menages_plafond_HLM_<100-130%";"PO_plafond_HLM_<130-150%";"LP_plafond_HLM_<130-150%";"LH_plafond_HLM_<130-150%";"LC_plafond_HLM_<130-150%";"autres_plafond_HLM_<130-150%";"Total_menages_plafond_HLM_<130-150%";"PO_plafond_HLM_>150%";"LP_plafond_HLM_>150%";"LH_plafond_HLM_>150%";"LC_plafond_HLM_>150%";"autres_plafond_HLM_>150%";"Total_menages_plafond_HLM_>150%";"PO_plafond_HLM_somme";"LP_plafond_HLM_somme";"LH_plafond_HLM_somme";"LC_plafond_HLM_somme";"autres_plafond_HLM_somme";"Total_menages_plafond_HLM_somme";"PO_plafond_HLM_ecart_type";"LP_plafond_HLM_ecart_type";"LH_plafond_HLM_ecart_type";"LC_plafond_HLM_ecart_type";"autres_plafond_HLM_ecart_type";"Total_menages_plafond_HLM_ecart_type";"PO_plafond_HLM_moyenne";"LP_plafond_HLM_moyenne";"LH_plafond_HLM_moyenne";"LC_plafond_HLM_moyenne";"autres_plafond_HLM_moyenne";"Total_menages_plafond_HLM_moyenne";"PO_plafond_HLM_mediane";"LP_plafond_HLM_mediane";"LH_plafond_HLM_mediane";"LC_plafond_HLM_mediane";"autres_plafond_HLM_mediane";"Total_mÃ©nages_plafond_HLM_mediane";"PO_<1_seuil_pauvrete";"LP_<1_seuil_pauvrete";"LH_<1_seuil_pauvrete";"LC_<1_seuil_pauvrete";"autres_<1_seuil_pauvrete";"Total_mÃ©nages_<1_seuil_pauvrete";"PO_1-<2_seuil_pauvrete";"LP_1-<2_seuil_pauvrete";"LH_1-<2_seuil_pauvrete";"LC_1-<2_seuil_pauvrete";"autres_1-<2_seuil_pauvrete";"Total_mÃ©nages_1-<2_seuil_pauvrete";"PO_2-<3_seuil_pauvrete";"LP_2-<3_seuil_pauvrete";"LH_2-<3_seuil_pauvrete";"LC_2-<3_seuil_pauvrete";"autres_2-<3_seuil_pauvrete";"Total_menages_2-<3_seuil_pauvrete";"PO_>=3_seuil_pauvrete";"LP_>=3_seuil_pauvrete";"LH_>=3_seuil_pauvrete";"LC_>=3_seuil_pauvrete";"autres_>=3_seuil_pauvrete";"Total_menages_>=3_seuil_pauvrete"
"Propriano";"2A249";2019;"559";"s";"166";"s";"s";"1249";"s";"s";"s";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"s";"s";"171";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"156";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"44634";"19743";"13492";"s";"s";34899;"44310";"24957";"19206";"s";"s";33684;"33859";"20921";"16704";"s";"s";25515;"27852";"11587";"8174";"s";"s";21858;"29767";"16650";"12250";"s";"s";22534;"24416";"15008";"11199";"s";"s";18620;"s";"s";"s";"s";"s";"1298";"s";"s";"s";"s";"s";"130";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"s";"0";"s";"221";"94";"s";"s";"s";"s";"286";"132";"s";"50";"s";"s";"374";"100";"s";"s";"s";"s";"197";"s";"s";"s";"s";"s";"93";"199";"s";"s";"s";"s";"262";"88578";"38575";"10169";"s";"s";147185;"143";"56";"37";"s";"s";110;"136";"76";"54";"s";"s";103;"109";"70";"48";"s";"s";82;"124";"s";"88";"s";"s";"375";"150";"s";"75";"s";"s";"470";"171";"s";"s";"s";"s";"318";"206";"s";"s";"s";"s";"270"
"Quasquara";"2A253";2019;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";26275;"s";"s";".";"s";"s";30265;"s";"s";".";"s";"s";24223;"s";"s";".";"s";"s";18077;"s";"s";".";"s";"s";22054;"s";"s";".";"s";"s";16925;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";2067;"s";"s";".";"s";"s";85;"s";"s";".";"s";"s";94;"s";"s";".";"s";"s";70;"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s"
"Quenza";"2A254";2019;"s";"s";"0";"s";"s";"99";"s";"s";"0";"0";"s";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"0";"s";"21779";"s";".";"s";"s";20591;"32185";"s";".";"s";"s";30177;"25286";"s";".";"s";"s";24712;"15523";"s";".";"s";"s";15263;"24554";"s";".";"s";"s";22776;"20159";"s";".";"s";"s";18698;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"13";"14";"s";"0";"0";"s";"25";"s";"s";"0";"s";"s";"28";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"20";"8237";"s";".";"s";"s";10563;"77";"s";".";"s";"s";73;"107";"s";".";"s";"s";99;"91";"s";".";"s";"s";83;"15";"s";"0";"0";"s";"26";"s";"s";"0";"s";"s";"38";"s";"s";"0";"0";"s";"20";"s";"s";"0";"0";"0";"23"
"Renno";"2A258";2019;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18925";"s";".";"s";"s";17396;"25671";"s";".";"s";"s";24212;"17681";"s";".";"s";"s";19140;"13863";"s";".";"s";"s";13035;"19805";"s";".";"s";"s";19379;"17444";"s";".";"s";"s";17883;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"2207";"s";".";"s";"s";2829;"53";"s";".";"s";"s";52;"69";"s";".";"s";"s";67;"54";"s";".";"s";"s";55;"s";"s";"0";"0";"s";"19";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s"
"Rezza";"2A259";2019;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"15543";"s";".";".";"s";18632;"28312";"s";".";".";"s";28708;"29587";"s";".";".";"s";24175;"9864";"s";".";".";"s";10418;"20271";"s";".";".";"s";20151;"19963";"s";".";".";"s";19963;"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"12";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"1752";"s";".";".";"s";2443;"42";"s";".";".";"s";46;"88";"s";".";".";"s";87;"94";"s";".";".";"s";87;"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"13";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s"
"Rosazia";"2A262";2019;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";20695;"s";"s";".";".";"s";30438;"s";"s";".";".";"s";23207;"s";"s";".";".";"s";12131;"s";"s";".";".";"s";20209;"s";"s";".";".";"s";16863;"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";2556;"s";"s";".";".";"s";49;"s";"s";".";".";"s";73;"s";"s";".";".";"s";63;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"13";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s"
"Salice";"2A266";2019;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";22836;"s";"s";".";".";"s";29717;"s";"s";".";".";"s";24731;"s";"s";".";".";"s";12908;"s";"s";".";".";"s";21652;"s";"s";".";".";"s";20999;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"12";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";3621;"s";"s";".";".";"s";66;"s";"s";".";".";"s";93;"s";"s";".";".";"s";82;"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"14";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s"
"Sampolo";"2A268";2019;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";19058;"s";"s";".";"s";"s";24506;"s";"s";".";"s";"s";19086;"s";"s";".";"s";"s";12121;"s";"s";".";"s";"s";17147;"s";"s";".";"s";"s";14633;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";2364;"s";"s";".";"s";"s";61;"s";"s";".";"s";"s";74;"s";"s";".";"s";"s";57;"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"s";"14";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s"
"Sari-Solenzara";"2A269";2019;"229";"s";"71";"s";"s";"467";"s";"s";"s";"0";"s";"54";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"s";"25";"s";"s";"0";"s";"42";"s";"s";"0";"0";"s";"13";"s";"0";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"s";"0";"s";"0";"0";"s";"24";"s";"s";"0";"s";"43";"s";"s";"s";"0";"s";"s";"0";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"32519";"23656";"16447";"s";"s";28501;"40403";"23862";"23353";"s";"s";32114;"31605";"18116";"21337";"s";"s";23767;"18956";"14931";"11056";"s";"s";17151;"27004";"17279";"15716";"s";"s";22007;"22298";"15369";"13950";"s";"s";18677;"225";"s";"s";"s";"s";"464";"40";"s";"s";"0";"s";"51";".";".";".";".";".";".";".";".";".";".";".";".";"s";"24";"s";"0";"s";"77";"36";"42";"s";"0";"s";"103";"75";"42";"s";"s";"s";"158";"s";"13";"s";"0";"s";"59";"s";"s";"s";"s";"s";"32";"74";"s";"s";"0";"s";"88";"32574";"9966";"5293";"s";"s";50251;"96";"70";"47";"s";"s";85;"122";"73";"67";"s";"s";97;"98";"61";"64";"s";"s";79;"45";"46";"27";"0";"11";"129";"91";"60";"32";"s";"s";"201";"54";"s";"s";"s";"s";"96";"76";"s";"s";"0";"s";"91"
"Sari-d'Orcino";"2A270";2019;"68";"s";"s";"s";"s";"107";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"12";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"37845";"10906";"s";"s";"s";38898;"41548";"14293";"s";"s";"s";36824;"30717";"13434";"s";"s";"s";24068;"20325";"8151";"s";"s";"s";19197;"25942";"12281";"s";"s";"s";22760;"22568";"13154";"s";"s";"s";19974;"s";"s";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"13";"s";"0";"0";"s";"26";"s";"s";"s";"0";"s";"21";"20";"s";"s";"0";"s";"31";"s";"s";"0";"s";"s";"17";"s";"0";"0";"0";"s";"14";"s";"0";"0";"s";"s";"20";"9740";"1152";"s";"s";"s";12947;"104";"37";"s";"s";"s";96;"117";"48";"s";"s";"s";100;"98";"45";"s";"s";"s";82;"17";"s";"s";"0";"s";"37";"20";"s";"s";"0";"s";"35";"s";"s";"0";"s";"s";"38";"s";"0";"0";"0";"s";"19"
"Sarrola-Carcopino";"2A271";2019;"575";"290";"s";"s";"s";"1153";"106";"s";"s";"s";"s";"158";"s";"s";"s";"0";"s";"34";"s";"s";"0";"0";"0";"14";"107";"s";"s";"0";"s";"155";"s";"s";"s";"s";"s";"s";"s";"s";"s";"0";"s";"22";"s";"0";"0";"0";"0";"s";"s";"s";"s";"0";"s";"21";"s";"25";"s";"0";"s";"153";"s";"s";"s";"s";"s";"32";"s";"s";"0";"0";"0";"s";"s";"12";"s";"0";"0";"26";"31277";"20313";"s";"s";"s";28467;"46599";"28690";"s";"s";"s";36677;"39770";"23556";"s";"s";"s";29154;"17058";"11716";"s";"s";"s";15607;"27500";"19890";"s";"s";"s";22821;"24185";"18261";"s";"s";"s";20329;"647";"283";"s";"s";"s";"1222";"59";"12";"s";"0";"s";"87";".";".";".";".";".";".";".";".";".";".";".";".";"s";"32";"s";"0";"s";"136";"76";"s";"s";"0";"s";"225";"188";"95";"s";"s";"s";"372";"142";"55";"s";"0";"s";"238";"s";"s";"s";"s";"s";"99";"202";"s";"s";"0";"s";"249";"90154";"26443";"s";"s";"s";136496;"82";"56";"s";"s";"s";75;"127";"88";"s";"s";"s";103;"114";"77";"s";"s";"s";92;"67";"s";"s";"0";"s";"238";"214";"119";"s";"s";"s";"463";"227";"83";"s";"s";"s";"366";"203";"s";"s";"0";"s";"252"
"Sartène";"2A272";2019;"647";"394";"s";"s";"87";"1214";"98";"s";"s";"s";"s";"163";"s";"s";"s";"0";"0";"s";"s";"0";"s";"0";"s";"s";"92";"s";"s";"s";"s";"157";"s";"s";"s";"0";"s";"24";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"s";"0";"0";"15";"89";"34";"s";"s";"s";"147";"s";"s";"s";"0";"s";"36";"s";"11";"s";"0";"s";"25";"s";"35";"s";"0";"s";"62";"30805";"19258";"40074";"27366";"30666";29863;"41121";"22875";"20471";"31646";"40923";34225;"36077";"18316";"15368";"22049";"31926";26862;"19590";"11665";"20374";"15803";"16445";18355;"27637";"15483";"13079";"21201";"26643";22927;"24263";"13714";"9822";"19397";"24476";19759;"689";"385";"s";"s";"s";"1261";"61";"23";"s";"0";"s";"96";".";".";".";".";".";".";".";".";".";".";".";".";"67";"98";"36";"s";"s";"214";"105";"116";"26";"s";"s";"265";"173";"114";"s";"s";"23";"326";"140";"42";"s";"s";"s";"214";"58";"14";"s";"s";"s";"84";"208";"25";"s";"s";"s";"256";"90952";"27248";"5114";"1136";"11114";135564;"91";"55";"122";"77";"75";87;"121";"67";"59";"95";"110";100;"104";"56";"40";"83";"102";85;"120";"166";"s";"s";"s";"353";"209";"144";"s";"s";"32";"414";"210";"72";"s";"s";"32";"327";"212";"27";"s";"s";"s";"265"
"Serra-di-Ferro";"2A276";2019;"133";"s";"0";"s";"s";"193";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"s";"s";"0";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"37655";"21941";".";"s";"s";35064;"44307";"25079";".";"s";"s";39301;"39834";"17667";".";"s";"s";32852;"23083";"12025";".";"s";"s";22190;"29643";"17739";".";"s";"s";26528;"26532";"17196";".";"s";"s";21877;"s";"s";"0";"s";"s";"179";"s";"s";"0";"s";"s";"33";".";".";".";".";".";".";".";".";".";".";".";".";"13";"s";"0";"s";"s";"28";"20";"s";"0";"s";"s";"35";"30";"s";"0";"s";"s";"45";"s";"s";"0";"s";"s";"25";"s";"s";"0";"0";"s";"23";"s";"s";"0";"0";"s";"56";"20573";"2828";".";"s";"s";25064;"123";"57";".";"s";"s";111;"137";"76";".";"s";"s";118;"113";"69";".";"s";"s";97;"s";"s";"0";"s";"s";"48";"40";"s";"0";"s";"s";"58";"38";"s";"0";"s";"s";"49";"s";"s";"0";"0";"s";"57"
"Serra-di-Scopamène";"2A278";2019;"s";"s";"s";"s";"s";"s";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"26936";"18302";"s";"s";"s";22560;"36834";"24072";"s";"s";"s";30946;"31228";"14396";"s";"s";"s";24204;"18438";"16788";"s";"s";"s";16388;"28922";"18224";"s";"s";"s";24593;"26192";"14113";"s";"s";"s";20376;"s";"s";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"s";"s";"s";"20";"s";"0";"0";"s";"s";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"3350";"809";"s";"s";"s";5158;"83";"44";"s";"s";"s";69;"120";"62";"s";"s";"s";97;"91";"55";"s";"s";"s";83;"s";"s";"0";"0";"0";"12";"s";"s";"s";"s";"s";"20";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s"
"Serriera";"2A279";2019;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22148";"s";".";".";"s";21839;"28475";"s";".";".";"s";29606;"20906";"s";".";".";"s";24045;"10439";"s";".";".";"s";12531;"21277";"s";".";".";"s";22248;"18920";"s";".";".";"s";19431;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"11";"s";"s";"0";"0";"s";"18";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"3604";"s";".";".";"s";5259;"62";"s";".";".";"s";62;"92";"s";".";".";"s";94;"79";"s";".";".";"s";80;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"21";"s";"s";"0";"0";"s";"18";"s";"s";"0";"0";"s";"s"
